"Name" "Lat" "Lon" "Height" "Diam" "N"
"360" -29.25 -70.73333 2400 3.6 1
"AAT" -31.2833333 149.06666667 1165 3.9 1
"AEOS" 20.70833 -156.2581 3058 3.7 1
"ANU2.3" -31.2833333 149.06666667 1165 3.9 1
"ARC" 32.78333 -105.8167 2788 3.5 1
"Arecibo" 18.34417 -66.75278 10 305 1
"ASKAP" -26.703319 116.670815 0 12 36
"ATCA" -30.3128846 149.5501388 236.87 22 6
"BAO" 40.33333 44.28333 1405 2.6 1
"Blanco" -30.1666667 -70.8166667 2200 4 1
"Bolshoi" 43.65 41.4333333 2070 6 1
"CAO" 37.21667 -2.55 2200 3.5 1
"CFHT" 19.83333 -155.4667 4200 3.6 1
"duPont" -29.0146 -70.6926 2380 2.5 1
"GeminiN" 19.83333 -155.4667 4100 8.1 1
"GeminiS" -30.3333333 -70.9833333 2737 8.1 1
"GMRT" 19.096516666667 74.049741666667 656 45 30
"GTC" 28.76667 -17.88333 2400 10.4 1
"Hale" 33.35 -116.8666667 1900 5 1
"HET" 30.6666667 -104.01666667 2072 9.2 2
"HJST" 30.66667 -104.0167 2100 2.7 1
"Hooker" 34.21667 -118.0667 1700 2.5 1
"INT" 28.7666667 -17.8833333 2382 2.5 1
"IRTF" 19.83333 -155.4667 4160 3 1
"J-PAS" 40.03333 -1 1900 2.5 1
"JGT" 56.3404 -2.7955 10 1 1
"Keck" 19.83333 -155.4667 4123 10 2
"LAMOST" 40.3833333 117.5667 950 4.2 1
"LBT" 32.7 -109.8833333 3170 8.4 1
"LZT" 49.28 -122.57 395 6 1
"Magellan" -29.0146 -70.6926 2380 6.5 2
"Mayall" 31.95 -111.6166667 2100 3.8 1
"MeerKAT" -30.721 21.411 1000 13.5 64
"MMT" 31.6833333 -110.8833333 2600 6.5 1
"Mopra" -31.2678132 149.0996405 866.44 22 1
"MWA" -26.703319 116.670815 0 NA NA
"Nordic" 28.7666667 -17.8833333 2382 2.5 1
"NTT" -29.25 -70.73333 2400 3.5 1
"Parkes" -32.9984064 148.2635101 414.80 64 1
"SALT" -32.38333 20.8166667 1759 9.2 1
"SDSS" 32.78333 -105.8 2788 2.5 1
"Shajn" 44.73333 34.01667 600 2.6 1
"Shane" 37.35 -121.6333 1300 3 1
"SOAR" -30.2333333 -70.7333333 2738 4.2 1
"SPMT" 31.0439 -115.4637 2800 6.5 1
"Starfire" 35.03333 -106.6 1900 3.5 1
"StarFox" -31.97333 115.8178 10 0.1 1
"Subaru" 19.83333 -155.4667 4100 8.3 1
"TNG" 28.75 -17.88333 2387 3.6 1
"UKIRT" 19.8333333 -155.4666667 4200 3.8 1
"VISTA" -24.6 -70.3833333 2635 4 1
"VLA" 34.07875 -107.6183 2000 25 27
"VLT" -24.6333333 -70.4 2635 8.2 4
"VST" -24.6272 -70.4036 2600 2.6  1
"WHT" 28.7666667 -17.8833333 2400 4.2 1
"WIYN" 31.95 -111.6167 2100 3.5 1
